INSTANCE,VCPU,RAM,PAY AS YOU GO,PAY AS YOU GO WITH AZURE HYBRID BENEFIT,ONE YEAR RESERVED,ONE YEAR RESERVED WITH AZURE HYBRID BENEFIT,THREE YEAR RESERVED,THREE YEAR RESERVED WITH AZURE HYBRID BENEFIT,SPOT,SPOT WITH AZURE HYBRID BENEFIT,ONE YEAR SAVINGS PLAN,ONE YEAR SAVINGS PLAN WITH AZURE HYBRID BENEFIT,THREE YEAR SAVINGS PLAN,THREE YEAR SAVINGS PLAN WITH AZURE HYBRID BENEFIT,ARCH,CONSTRAINED CPU,PREMIUM STORAGE
D64lds v5,64,128,6.016,3.072,4.7564,1.8124,4.0499,1.1059,1.504,0.768,5.0022,2.0582,4.2957,1.3517,Intel,64,true
D96lds v5,96,192,9.024,4.608,7.1347,2.7187,6.0749,1.6589,2.256,1.152,7.5034,3.0874,6.4435,2.0275,Intel,96,true
DC2ads v5,2,8,0.195,0.103,0.1744,0.0824,0.1538,0.0618,0.1365,0.0721,0.1792,0.0872,0.159,0.067,AMD,2,true
DC4ads v5,4,16,0.39,0.206,0.3488,0.1648,0.3076,0.1236,0.273,0.1442,0.3584,0.1744,0.3179,0.1339,AMD,4,true
DC8ads v5,8,32,0.78,0.412,0.6976,0.3296,0.6152,0.2472,0.546,0.2884,0.7169,0.3489,0.6358,0.2678,AMD,8,true
DC16ads v5,16,64,1.56,0.824,1.3953,0.6593,1.2304,0.4944,1.092,0.5768,1.4338,0.6978,1.2717,0.5357,AMD,16,true
DC32ads v5,32,128,3.12,1.648,2.7904,1.3184,2.4608,0.9888,2.184,1.1536,2.8675,1.3955,2.5434,1.0714,AMD,32,true
DC48ads v5,48,192,4.68,2.472,4.1856,1.9776,3.6912,1.4832,3.276,1.7304,4.3013,2.0933,3.8151,1.6071,AMD,48,true
DC64ads v5,64,256,6.24,3.296,5.5808,2.6368,4.9216,1.9776,4.368,2.3072,5.7351,2.7911,5.0867,2.1427,AMD,64,true
DC96ads v5,96,384,9.36,4.944,8.3713,3.9553,7.3824,2.9664,6.552,3.4608,8.6026,4.1866,7.6301,3.2141,AMD,96,true
DC2as v5,2,8,0.178,0.086,0.1608,0.0688,0.1436,0.0516,0.1246,0.0602,0.1647,0.0727,0.148,0.056,AMD,2,true
DC4as v5,4,16,0.356,0.172,0.3216,0.1376,0.2872,0.1032,0.2492,0.1204,0.3294,0.1454,0.2959,0.1119,AMD,4,true
DC8as v5,8,32,0.712,0.344,0.6432,0.2752,0.5744,0.2064,0.4984,0.2408,0.6588,0.2908,0.5919,0.2239,AMD,8,true
DC16as v5,16,64,1.424,0.688,1.2865,0.5505,1.1488,0.4128,0.9968,0.4816,1.3176,0.5816,1.1838,0.4478,AMD,16,true
DC32as v5,32,128,2.848,1.376,2.5728,1.1008,2.2976,0.8256,1.9936,0.9632,2.6353,1.1633,2.3675,0.8955,AMD,32,true
DC48as v5,48,192,4.272,2.064,3.8593,1.6513,3.4464,1.2384,2.9904,1.4448,3.9529,1.7449,3.5513,1.3433,AMD,48,true
DC64as v5,64,256,5.696,2.752,5.1456,2.2016,4.5952,1.6512,3.9872,1.9264,5.2705,2.3265,4.735,1.791,AMD,64,true
DC96as v5,96,384,8.544,4.128,7.7184,3.3024,6.8928,2.4768,5.9808,2.8896,7.9058,3.4898,7.1025,2.6865,AMD,96,true
D2d v4,2,8,0.205,0.113,0.1584,0.0664,0.1345,0.0425,0.0205,0.0113,0.1692,0.0772,0.1436,0.0516,Intel,2,false
D4d v4,4,16,0.41,0.226,0.3169,0.1329,0.269,0.085,0.041,0.0226,0.3385,0.1545,0.2872,0.1032,Intel,4,false
D8d v4,8,32,0.82,0.452,0.6338,0.2658,0.5379,0.1699,0.082,0.0452,0.6769,0.3089,0.5744,0.2064,Intel,8,false
D16d v4,16,64,1.64,0.904,1.2675,0.5315,1.0759,0.3399,0.164,0.0904,1.3539,0.6179,1.1489,0.4129,Intel,16,false
D32d v4,32,128,3.28,1.808,2.5351,1.0631,2.1518,0.6798,0.328,0.1808,2.7078,1.2358,2.2977,0.8257,Intel,32,false
D48d v4,48,192,4.92,2.712,3.8026,1.5946,3.2277,1.0197,0.492,0.2712,4.0617,1.8537,3.4466,1.2386,Intel,48,false
D64d v4,64,256,6.56,3.616,5.0703,2.1263,4.3036,1.3596,0.656,0.3616,5.4155,2.4715,4.5954,1.6514,Intel,64,false
D2ds v4,2,8,0.205,0.113,0.1584,0.0664,0.1345,0.0425,0.0205,0.0113,0.1692,0.0772,0.1436,0.0516,Intel,2,true
D4ds v4,4,16,0.41,0.226,0.3169,0.1329,0.269,0.085,0.041,0.0226,0.3385,0.1545,0.2872,0.1032,Intel,4,true
D8ds v4,8,32,0.82,0.452,0.6338,0.2658,0.5379,0.1699,0.082,0.0452,0.6769,0.3089,0.5744,0.2064,Intel,8,true
D16ds v4,16,64,1.64,0.904,1.2675,0.5315,1.0759,0.3399,0.164,0.0904,1.3539,0.6179,1.1489,0.4129,Intel,16,true
D32ds v4,32,128,3.28,1.808,2.5351,1.0631,2.1518,0.6798,0.328,0.1808,2.7078,1.2358,2.2977,0.8257,Intel,32,true
D48ds v4,48,192,4.92,2.712,3.8026,1.5946,3.2277,1.0197,0.492,0.2712,4.0617,1.8537,3.4466,1.2386,Intel,48,true
D64ds v4,64,256,6.56,3.616,5.0703,2.1263,4.3036,1.3596,0.656,0.3616,5.4155,2.4715,4.5954,1.6514,Intel,64,true
D2 v4,2,8,0.188,0.096,0.1486,0.0566,0.1285,0.0365,0.0188,0.0096,0.1578,0.0658,0.1362,0.0442,Intel,2,false
D4 v4,4,16,0.376,0.192,0.2972,0.1132,0.257,0.073,0.0376,0.0192,0.3157,0.1317,0.2724,0.0884,Intel,4,false
D8 v4,8,32,0.752,0.384,0.5946,0.2266,0.5139,0.1459,0.0752,0.0384,0.6314,0.2634,0.5447,0.1767,Intel,8,false
D16 v4,16,64,1.504,0.768,1.1891,0.4531,1.0279,0.2919,0.1504,0.0768,1.2627,0.5267,1.0894,0.3534,Intel,16,false
D32 v4,32,128,3.008,1.536,2.3783,0.9063,2.0557,0.5837,0.3008,0.1536,2.5254,1.0534,2.1789,0.7069,Intel,32,false
D48 v4,48,192,4.512,2.304,3.5674,1.3594,3.0835,0.8755,0.4512,0.2304,3.7881,1.5801,3.2683,1.0603,Intel,48,false
D64 v4,64,256,6.016,3.072,4.7564,1.8124,4.1114,1.1674,0.6016,0.3072,5.0508,2.1068,4.3577,1.4137,Intel,64,false
D2s v4,2,8,0.188,0.096,0.1484,0.0564,0.1281,0.0361,0.0188,0.0096,0.1578,0.0658,0.1362,0.0442,Intel,2,true
D4s v4,4,16,0.376,0.192,0.2969,0.1129,0.2562,0.0722,0.0376,0.0192,0.3157,0.1317,0.2724,0.0884,Intel,4,true
D8s v4,8,32,0.752,0.384,0.5938,0.2258,0.5124,0.1444,0.0752,0.0384,0.6314,0.2634,0.5447,0.1767,Intel,8,true
D16s v4,16,64,1.504,0.768,1.1876,0.4516,1.0248,0.2888,0.1504,0.0768,1.2627,0.5267,1.0894,0.3534,Intel,16,true
D32s v4,32,128,3.008,1.536,2.3752,0.9032,2.0496,0.5776,0.3008,0.1536,2.5254,1.0534,2.1789,0.7069,Intel,32,true
D48s v4,48,192,4.512,2.304,3.5628,1.3548,3.0743,0.8663,0.4512,0.2304,3.7881,1.5801,3.2683,1.0603,Intel,48,true
D64s v4,64,256,6.016,3.072,4.7504,1.8064,4.0991,1.1551,0.6016,0.3072,5.0508,2.1068,4.3577,1.4137,Intel,64,true
D2 v3,2,8,0.188,0.096,0.1492,0.0572,0.1288,0.0368,0.0188,0.0096,0.1752,0.0832,0.1576,0.0656,Intel,2,false
D4 v3,4,16,0.376,0.192,0.2985,0.1145,0.2577,0.0737,0.0376,0.0192,0.3503,0.1663,0.3152,0.1312,Intel,4,false
D8 v3,8,32,0.752,0.384,0.597,0.229,0.5154,0.1474,0.0752,0.0384,0.7006,0.3326,0.6305,0.2625,Intel,8,false
